given_name,family_name,gender,birth_date,country_of_origin,destination_country,destination_city,port_of_entry,visa_category,arrival_date,reason_for_migration,status_at_5_years,naturalization_date,asylum_related
Noah,Abdul,Male,1977-12-30,Afghanistan,Italy,Florence,Turin Airport,Diversity,2024-12-05,Economic Opportunity,Departed,,FALSE
Mia,Nguyen,Female,1993-02-06,Malaysia,Australia,Sydney,Melbourne Airport,Diversity,2018-01-17,Family Reunification,Permanent Resident,,FALSE
Priya,Kim,Female,1992-09-02,United Kingdom,France,Montpellier,Orly,Work,2024-08-12,Study,Permanent Resident,,FALSE
Leila,Smith,Female,1962-07-24,Argentina,United Kingdom,Sheffield,Gatwick,Work,2014-12-05,Work,Permanent Resident,,FALSE
Leila,Smith,Female,2005-08-15,South Africa,United States,New York,BOS,Family,2023-08-11,Economic Opportunity,Permanent Resident,,FALSE
Mohamed,Ibrahim,Female,2003-01-24,Poland,Netherlands,Groningen,Schiphol,Work,2022-01-29,Work,Departed,,FALSE
Carlos,Novak,Female,1985-09-10,Greece,Sweden,Gothenburg,Arlanda,Skilled Worker,2023-06-19,Study,Citizen,2035-01-15,FALSE
Camila,Smith,Female,1979-09-22,Egypt,Canada,Hamilton,Vancouver Intl,Work,2020-08-04,Family Reunification,Citizen,2025-04-07,FALSE
Nina,Chen,Female,1996-11-18,Spain,Sweden,Stockholm,Malmo Airport,Student,2023-05-01,Work,Permanent Resident,,FALSE
Omar,Ivanov,Female,1962-06-04,Indonesia,Australia,Brisbane,Perth Airport,Family,2004-12-04,Persecution,Permanent Resident,,TRUE
Yuki,Costa,Female,1983-06-10,Colombia,Netherlands,The Hague,Schiphol,Skilled Worker,2023-10-16,Study,Permanent Resident,,FALSE
Priya,Davis,Female,1990-03-03,Bulgaria,Italy,Bari,Naples Intl,Work,2013-11-19,Conflict/War,Citizen,2017-08-17,TRUE
Emma,Costa,Female,2003-01-03,Cuba,Germany,Berlin,HAM,Work,2023-05-28,Conflict/War,Temporary Resident,,TRUE
Ahmed,Johnson,Female,1969-09-25,Ethiopia,Australia,Brisbane,Melbourne Airport,Student,2005-03-14,Economic Opportunity,Permanent Resident,,FALSE
Mohamed,Zhang,Male,1968-04-09,El Salvador,Spain,Seville,Palma de Mallorca,Skilled Worker,2016-05-26,Study,Temporary Resident,,FALSE
Ibrahim,Martinez,Male,1957-04-19,Iraq,France,Marseille,Orly,Student,2025-05-17,Family Reunification,Temporary Resident,,FALSE
Anita,Martinez,Female,1975-10-29,Kenya,United States,Chicago,SEA,Student,2002-11-07,Family Reunification,Undocumented,,FALSE
Akira,Gonzalez,Male,1960-03-06,El Salvador,United Kingdom,London,Gatwick,Diversity,2001-09-03,Family Reunification,Permanent Resident,,FALSE
Leila,Bauer,Male,1989-09-29,Egypt,Netherlands,Rotterdam,Rotterdam The Hague,Skilled Worker,2013-12-24,Work,Departed,,FALSE
Igor,Rossi,Male,1989-06-26,Afghanistan,Australia,Canberra,Adelaide Airport,Work,2013-09-15,Work,Permanent Resident,,FALSE
Hassan,Hernandez,Female,1961-02-14,Argentina,Italy,Catania,Malpensa,Work,2012-01-30,Family Reunification,Citizen,2018-10-23,FALSE
Jin,Jones,Female,1986-12-26,Taiwan,France,Strasbourg,CDG,Work,2010-10-01,Family Reunification,Citizen,2014-02-02,FALSE
Leila,Hernandez,Male,1959-11-14,Sri Lanka,Spain,Barcelona,Madrid–Barajas,Work,2006-10-18,Work,Permanent Resident,,FALSE
Alex,Brown,Male,1957-03-18,South Africa,United States,Boston,LAX,Work,2001-08-05,Persecution,Permanent Resident,,TRUE
Leila,Zhang,Non-binary,1974-06-02,Spain,Australia,Adelaide,Melbourne Airport,Work,2000-09-04,Conflict/War,Departed,,TRUE
Akira,Yamada,Female,1983-12-02,Colombia,Canada,Ottawa,Pearson Intl,Student,2016-12-11,Family Reunification,Permanent Resident,,FALSE
Ava,Ibrahim,Female,1990-12-24,Venezuela,Canada,Ottawa,Ottawa Intl,Family,2012-09-19,Economic Opportunity,Citizen,2021-08-08,FALSE
Wei,Hernandez,Female,1964-09-28,Venezuela,Sweden,Helsingborg,Arlanda,Work,2010-12-25,Family Reunification,Permanent Resident,,FALSE
Alex,Garcia,Female,2004-11-29,Poland,Germany,Stuttgart,BER,Asylum,2024-04-07,Work,Temporary Resident,,TRUE
Carlos,Popov,Male,1961-04-26,India,Sweden,Linkoping,Arlanda,Work,2010-10-09,Work,Citizen,2015-04-11,FALSE
Chen,Popov,Female,1972-06-11,South Africa,Italy,Turin,Naples Intl,Refugee,2022-02-07,Work,Permanent Resident,,TRUE
Ava,Lopez,Female,1967-01-15,Syria,France,Nantes,Nice Côte d'Azur,Student,2001-12-09,Work,Temporary Resident,,FALSE
Camila,Miller,Female,1981-04-30,Pakistan,United Kingdom,Leeds,Heathrow,Family,2010-05-30,Work,Undocumented,,FALSE
Jin,Rossi,Female,2006-08-22,Colombia,Italy,Florence,Naples Intl,Skilled Worker,2025-09-03,Family Reunification,Temporary Resident,,FALSE
Yuki,Davis,Female,2002-06-01,Nepal,Australia,Brisbane,Adelaide Airport,Work,2022-10-14,Family Reunification,Citizen,2030-06-01,FALSE
Isabella,Gonzalez,Male,1970-07-09,Greece,United Kingdom,Edinburgh,Manchester Airport,Work,2001-06-08,Work,Temporary Resident,,FALSE
Isabella,Martinez,Female,1961-05-06,Cuba,United Kingdom,Glasgow,Gatwick,Family,2002-10-20,Conflict/War,Permanent Resident,,TRUE
Chen,Lopez,Female,1987-10-25,China,United Kingdom,Birmingham,Gatwick,Student,2015-06-05,Conflict/War,Permanent Resident,,TRUE
Olivia,Singh,Female,1987-03-12,Argentina,Australia,Hobart,Melbourne Airport,Family,2022-07-31,Economic Opportunity,Permanent Resident,,FALSE
Sara,Popov,Male,1972-04-07,India,Italy,Turin,Turin Airport,Work,2013-06-16,Study,Temporary Resident,,FALSE
Camila,Silva,Non-binary,2005-03-23,Iran,Sweden,Norrkoping,Gothenburg Landvetter,Family,2025-04-09,Study,Permanent Resident,,FALSE
Sara,Hernandez,Male,1959-04-20,Honduras,Spain,Bilbao,Barcelona–El Prat,Student,2024-10-08,Work,Departed,,FALSE
Amina,Hernandez,Female,1956-10-13,Japan,Germany,Frankfurt,MUC,Student,2015-09-25,Work,Permanent Resident,,FALSE
Anna,Bauer,Female,2001-01-21,Egypt,United Kingdom,Manchester,Gatwick,Family,2023-12-06,Work,Temporary Resident,,FALSE
Akira,Williams,Female,1966-09-13,Argentina,Italy,Turin,Turin Airport,Student,2011-01-24,Work,Permanent Resident,,FALSE
Ibrahim,Costa,Female,1983-07-02,Ireland,Italy,Bologna,Fiumicino,Student,2010-07-31,Family Reunification,Permanent Resident,,FALSE
Camila,Chen,Female,1962-05-12,Russia,Canada,Quebec City,Ottawa Intl,Work,2014-06-06,Study,Citizen,2021-11-26,FALSE
Isabella,Zhang,Male,1955-02-05,Honduras,Spain,Malaga,Madrid–Barajas,Student,2022-02-14,Persecution,Permanent Resident,,TRUE
Elena,Perez,Male,1978-08-19,South Africa,France,Strasbourg,Nice Côte d'Azur,Humanitarian,2002-12-27,Family Reunification,Citizen,2007-04-14,FALSE
Hiro,Hernandez,Non-binary,1981-02-13,Thailand,Italy,Catania,Naples Intl,Family,2011-12-18,Family Reunification,Permanent Resident,,FALSE
Olivia,Rodriguez,Female,1958-06-22,Taiwan,Canada,Toronto,Ottawa Intl,Student,2009-04-10,Family Reunification,Citizen,2018-12-05,FALSE
Sara,Garcia,Male,1992-06-02,Japan,Australia,Brisbane,Sydney Airport,Student,2017-03-26,Study,Permanent Resident,,FALSE
Omar,Rodriguez,Female,1955-04-01,Kenya,France,Strasbourg,Marseille Provence,Student,2017-02-05,Family Reunification,Permanent Resident,,FALSE
Hassan,Zhang,Female,1967-08-18,Venezuela,Spain,Seville,Malaga–Costa del Sol,Skilled Worker,2024-10-19,Work,Permanent Resident,,FALSE
Nina,Ibrahim,Female,1966-07-05,Syria,Spain,Valladolid,Malaga–Costa del Sol,Refugee,2011-01-26,Study,Permanent Resident,,TRUE
Maria,Popov,Female,1950-07-01,Bangladesh,Sweden,Gothenburg,Gothenburg Landvetter,Family,2009-09-20,Family Reunification,Permanent Resident,,FALSE
Sofia,Hernandez,Female,1986-03-31,Argentina,United Kingdom,London,Gatwick,Family,2025-07-03,Study,Permanent Resident,,FALSE
Nina,Ibrahim,Male,1996-11-05,Honduras,United Kingdom,Glasgow,Heathrow,Diversity,2024-10-10,Work,Departed,,FALSE
Nina,Hassan,Female,1976-04-14,Nepal,United Kingdom,Cardiff,Heathrow,Refugee,2000-12-21,Work,Permanent Resident,,TRUE
Zoe,Chen,Male,2004-11-30,Philippines,Netherlands,Amsterdam,Eindhoven Airport,Skilled Worker,2024-01-09,Family Reunification,Permanent Resident,,FALSE
Anna,Brown,Male,1996-06-05,India,France,Nice,Orly,Diversity,2023-05-28,Work,Citizen,2030-10-19,FALSE
Noah,Moretti,Female,1952-08-09,Russia,Italy,Bari,Fiumicino,Asylum,2016-07-29,Conflict/War,Citizen,2023-07-05,TRUE
Nina,Martinez,Female,2000-02-02,Syria,Sweden,Vasteras,Malmo Airport,Asylum,2022-03-25,Family Reunification,Permanent Resident,,TRUE
Raj,Park,Female,1973-07-31,Greece,United States,Los Angeles,BOS,Diversity,2015-12-25,Economic Opportunity,Citizen,2023-10-04,FALSE
Camila,Park,Female,1958-10-21,Ukraine,Sweden,Orebro,Gothenburg Landvetter,Family,2024-02-06,Conflict/War,Permanent Resident,,TRUE
Mohamed,Sanchez,Male,1973-12-17,Nigeria,United Kingdom,Manchester,Heathrow,Family,2005-07-08,Study,Permanent Resident,,FALSE
Alex,Singh,Female,1976-03-14,Spain,Canada,Winnipeg,Ottawa Intl,Diversity,2000-04-04,Family Reunification,Permanent Resident,,FALSE
Jin,Zhang,Male,2003-05-28,Ethiopia,Germany,Munich,MUC,Work,2025-04-05,Family Reunification,Permanent Resident,,FALSE
Olivia,Williams,Female,1993-11-09,Venezuela,France,Nice,Lyon–Saint-Exupéry,Work,2023-12-28,Study,Citizen,2027-10-21,FALSE
Wei,Garcia,Female,2001-09-05,Sri Lanka,Australia,Canberra,Adelaide Airport,Work,2020-08-15,Work,Permanent Resident,,FALSE
Camila,Zhang,Male,1985-06-28,South Korea,United States,Boston,MIA,Student,2015-02-12,Conflict/War,Permanent Resident,,TRUE
Sofia,Park,Female,1976-12-26,Syria,United Kingdom,Sheffield,Heathrow,Refugee,2024-01-30,Family Reunification,Permanent Resident,,TRUE
Priya,Rodriguez,Female,1970-04-25,Honduras,Canada,Mississauga,Calgary Intl,Diversity,2001-08-07,Family Reunification,Permanent Resident,,FALSE
Jin,Novak,Female,1985-04-05,Nigeria,Italy,Florence,Fiumicino,Student,2014-07-18,Family Reunification,Permanent Resident,,FALSE
Yuki,Wang,Male,1954-12-01,Japan,Netherlands,Breda,Eindhoven Airport,Family,2021-11-18,Study,Permanent Resident,,FALSE
Akira,Garcia,Male,1988-10-11,Nepal,Spain,Valencia,Madrid–Barajas,Work,2012-11-29,Family Reunification,Permanent Resident,,FALSE
Mohamed,Johnson,Male,1999-03-23,Philippines,Italy,Bari,Fiumicino,Diversity,2024-05-25,Conflict/War,Departed,,TRUE
Anita,Ali,Male,1955-02-03,Sri Lanka,Australia,Canberra,Sydney Airport,Asylum,2022-04-13,Family Reunification,Permanent Resident,,TRUE
Isabella,Singh,Male,2005-12-15,Colombia,United States,Atlanta,HOU,Student,2024-07-26,Family Reunification,Permanent Resident,,FALSE
Sara,Sanchez,Male,2001-07-24,Syria,Australia,Brisbane,Adelaide Airport,Refugee,2020-08-25,Work,Undocumented,,TRUE
Sara,Ibrahim,Female,1954-01-15,Argentina,Australia,Perth,Sydney Airport,Work,2024-01-28,Economic Opportunity,Permanent Resident,,FALSE
Anita,Brown,Female,1955-07-01,Dominican Republic,Sweden,Vasteras,Arlanda,Work,2000-09-17,Family Reunification,Permanent Resident,,FALSE
Emma,Ali,Female,1970-02-14,Ireland,Sweden,Helsingborg,Arlanda,Diversity,2004-10-01,Family Reunification,Citizen,2013-12-22,FALSE
Camila,Ivanov,Male,1981-03-13,Ethiopia,Italy,Bari,Bologna Guglielmo Marconi,Work,2025-05-07,Family Reunification,Temporary Resident,,FALSE
Maria,Yamada,Male,1998-01-18,Russia,Spain,Valencia,Palma de Mallorca,Student,2022-01-04,Family Reunification,Permanent Resident,,FALSE
Wei,Zhang,Female,2002-07-15,Greece,United Kingdom,Edinburgh,Edinburgh Airport,Family,2021-01-18,Study,Permanent Resident,,FALSE
Akira,Rodriguez,Female,1959-06-10,Dominican Republic,Australia,Canberra,Melbourne Airport,Diversity,2003-11-09,Persecution,Permanent Resident,,TRUE
Mia,Miller,Male,1959-01-03,South Korea,Sweden,Uppsala,Malmo Airport,Diversity,2003-11-30,Work,Permanent Resident,,FALSE
Maria,Moretti,Female,1979-01-16,Portugal,Italy,Naples,Fiumicino,Skilled Worker,2004-02-14,Family Reunification,Temporary Resident,,FALSE
Maria,Nguyen,Male,1965-08-02,Mexico,Sweden,Linkoping,Gothenburg Landvetter,Student,2011-03-23,Climate/Disaster,Temporary Resident,,FALSE
Nina,Khan,Female,1961-10-25,Argentina,United Kingdom,Leeds,Edinburgh Airport,Family,2008-03-02,Conflict/War,Departed,,TRUE
Ibrahim,Jones,Male,1960-06-02,Nigeria,Netherlands,Almere,Schiphol,Diversity,2023-03-23,Persecution,Temporary Resident,,TRUE
Akira,Popov,Male,1956-12-04,Nepal,Germany,Hamburg,DUS,Diversity,2017-01-05,Family Reunification,Permanent Resident,,FALSE
Sara,Jones,Male,1999-03-21,Venezuela,Italy,Naples,Malpensa,Diversity,2020-07-31,Work,Permanent Resident,,FALSE
Mohamed,Hernandez,Male,1952-11-14,China,Australia,Perth,Brisbane Airport,Skilled Worker,2000-02-20,Work,Permanent Resident,,FALSE
Alex,Silva,Male,1962-01-24,Romania,United Kingdom,Cardiff,Stansted,Student,2020-08-10,Study,Permanent Resident,,FALSE
Lucas,Perez,Male,1998-12-24,Mexico,Australia,Perth,Adelaide Airport,Family,2018-10-29,Family Reunification,Permanent Resident,,FALSE
Maria,Garcia,Male,1961-03-11,Pakistan,Netherlands,Breda,Rotterdam The Hague,Humanitarian,2004-03-01,Work,Undocumented,,FALSE
Chen,Abdul,Female,1953-08-31,Taiwan,Germany,Hamburg,MUC,Work,2021-01-09,Persecution,Temporary Resident,,TRUE
Sara,Johnson,Female,1994-08-11,Nigeria,Australia,Gold Coast,Adelaide Airport,Asylum,2025-09-13,Economic Opportunity,Permanent Resident,,TRUE
Sofia,Rodriguez,Male,1998-10-03,Venezuela,Spain,Zaragoza,Madrid–Barajas,Family,2022-08-07,Work,Permanent Resident,,FALSE
Sara,Hernandez,Male,1990-09-14,Russia,United States,Dallas,LAX,Work,2012-12-24,Persecution,Permanent Resident,,TRUE
Amina,Novak,Female,2005-09-19,France,Germany,Munich,MUC,Work,2025-02-09,Family Reunification,Permanent Resident,,FALSE
Noah,Singh,Female,1971-01-22,Portugal,Italy,Turin,Fiumicino,Asylum,2015-01-11,Climate/Disaster,Temporary Resident,,TRUE
Mia,Martinez,Male,1997-01-14,Nepal,Netherlands,Almere,Rotterdam The Hague,Family,2015-05-16,Study,Permanent Resident,,FALSE
Diego,Kumar,Female,1993-12-01,Thailand,Canada,Winnipeg,Montreal-Trudeau,Family,2017-08-17,Study,Citizen,2026-05-07,FALSE
